날짜,시간,국가,경제지표,실제,예상,이전,중요도
11.14 (Thu), 22:30,us,생산자 물가지수(PPI) (전년비) Oct,,,1.8%,하
11.14 (Thu), 22:30,us,근원 생산자 물가지수 (전월비) Oct,,,0.2%,중
11.14 (Thu), 22:30,us,"PPI Ex 식품, 에너지 및 무역(연간) Oct",,,3.2%,하
11.14 (Thu), 22:30,us,근원 생산자 물가지수 (전년비) Oct,,,2.8%,하
11.14 (Thu), 22:30,us,"PPI Ex 식품, 에너지 및 무역(월간) Oct",,,0.1%,하
11.14 (Thu), 22:00,gb,NIESR 월간 GDP 추적 Oct,,,0.2%,하
11.14 (Thu), 16:00,gb,GDP 성장률 잠정치 (전년비) Q3,,,0.7%,상
11.14 (Thu), 16:00,gb,3개월 평균 GDP 증가율 Sep,,,0.2%,중
11.14 (Thu), 16:00,gb,월간 GDP 성장률 (전월비) Sep,,,0.2%,상
11.14 (Thu), 16:00,gb,기업 투자 잠정치 (전분기비) Q3,,,1.4%,중
11.14 (Thu), 16:00,gb,기업 투자 잠정치 (전년비) Q3,,,0.2%,하
11.14 (Thu), 16:00,gb,무역수지 Sep,,,&pound;-0.955B,하
11.14 (Thu), 16:00,gb,제조업 생산 (전년비) Sep,,,-0.3%,하
11.14 (Thu), 16:00,gb,제조업 생산 (전월비) Sep,,,1.1%,중
11.14 (Thu), 16:00,gb,산업생산 (전월비) Sep,,,0.5%,중
11.14 (Thu), 16:00,gb,산업생산 (전년비) Sep,,,-1.6%,하
11.14 (Thu), 16:00,gb,건설 산출량 (전년비) Sep,,,0.3%,하
11.14 (Thu), 16:00,gb,월간 GDP 성장률 (전년비) Sep,,,1%,하
11.14 (Thu), 16:00,gb,상품 무역수지 Sep,,,&pound;-15.06B,중
11.14 (Thu), 16:00,gb,건설 주문 (전년비) Q3,,,28%,하
11.14 (Thu), 16:00,gb,상품 무역수지(비EU국) Sep,,,&pound;-4.95B,중
11.14 (Thu), 16:00,gb,GDP 성장률 잠정치 (전분기비) Q3,,,0.5%,상
11.14 (Thu), 09:00,gb,재무장관 맨션 하우스 연설 ,,,,하
11.14 (Thu), 06:30,us,API 원유 재고 변화 Nov/08,,,,중
11.14 (Thu), 04:00,us,월간 예산 보고 Oct,,,,중
11.14 (Thu), 01:30,us,17주 만기 국채 입찰 ,,,,하
11.13 (Wed), 22:30,us,소비자물가지수 (CPI) (전년비) Oct,,,,상
11.13 (Wed), 22:30,us,근원 소비자물가지수 (CPI) (전년비) Oct,,,,상
11.13 (Wed), 22:30,us,근원 소비자물가지수 (CPI) (전월비) Oct,,,0.3%,상
11.13 (Wed), 22:30,us,소비자물가지수 (CPI) (전월비) Oct,,,,상
11.13 (Wed), 22:30,us,소비자 물가지수(CPI) Oct,,,,중
11.13 (Wed), 22:30,us,소비자 물가지수(CPI) (계절조정) Oct,,,314.686,중
11.13 (Wed), 21:00,us,MBA 30년 모기지 금리 Nov/08,,,,하
11.13 (Wed), 21:00,us,MBA 모기지 신청건수 (전주비) Nov/08,,,,하
11.13 (Wed), 21:00,us,MBA 모기지 재융자 지수 Nov/08,,,,하
11.13 (Wed), 21:00,us,MBA 구매 지수 Nov/08,,,,하
11.13 (Wed), 21:00,us,MBA 모기지 시장 지수 Nov/08,,,,하
11.13 (Wed), 19:00,gb,4년 부채 국채 경매 ,,,,하
11.13 (Wed), 17:00,cn,사회융자총액 Oct,,,,하
11.13 (Wed), 17:00,cn,신규 위안화 대출 Oct,,,,중
11.13 (Wed), 17:00,cn,광의통화량 M2 (전년비) Oct,,,,하
11.13 (Wed), 17:00,cn,대출 잔액 증감 (전년비) Oct,,,,하
11.13 (Wed), 08:00,kr,실업률 Oct,,,,중
11.13 (Wed), 06:00,kr,수입물가지수 (전년비) Oct,,,,하
11.13 (Wed), 06:00,kr,수출물가지수 (전년비) Oct,,,,하
11.13 (Wed), 01:00,us,소비자 기대 인플레이션 Oct,,,,하
11.12 (Tue), 23:10,us,RCM/TIPP 경제 낙관 지수 Nov,,,46.9,하
11.12 (Tue), 22:55,us,Redbook 지수(전년비) Nov/09,,,,하
11.12 (Tue), 20:00,us,NFIB 기업낙관지수 Oct,,,,하
11.12 (Tue), 19:00,gb,20년만기 국채 금채 경매 ,,,,하
11.12 (Tue), 16:00,gb,3개월 고용변화  Sep,,,,중
11.12 (Tue), 16:00,gb,실업수당청구 변동 Oct,,,,하
11.12 (Tue), 16:00,gb,실업률 Sep,,,,상
11.12 (Tue), 16:00,gb,3개월 평균 임금 (상여 포함) (전년비) Sep,,,,중
11.12 (Tue), 16:00,gb,3개월 평균 임금 (상여 제외) (전년비) Sep,,,,하
11.12 (Tue), 16:00,gb,HMRC 고용수 변화 Oct,,,,하
11.12 (Tue), 01:30,us,3개월 만기 국채 입찰 ,,,,하
11.12 (Tue), 01:30,us,6개월 만기 국채 입찰 ,,,,하
11.11 (Mon), 09:00,us,재향 군인의 날 ,,,,하
11.10 (Sun), 16:00,cn,차량 판매 (전년비) Oct,,,-1.7%,하
11.09 (Sat), 10:30,cn,인플레이션율 (전년비) Oct,,,0.4%,상
11.09 (Sat), 10:30,cn,인플레이션율 (전월비) Oct,,,0.0%,중
